date,tag,code,name,rid,price,pct_chg,turnover,net_buy
2026-06-26,,603903,中持股份,603903_3,12.84,10.03%,8174.69万,2193.95万
2026-06-26,3日,603956,威派格,603956_7,5.83,10.00%,5885.73万,579.77万
2026-06-26,,605006,山东玻纤,605006_5,24.94,5.19%,3.22亿,-3821.85万
2026-06-26,3日,605006,山东玻纤,605006_7,24.94,5.19%,10.26亿,-2.34亿
2026-06-26,,605081,退市太和,605081_35,0.36,2.86%,95.54万,18.46万
2026-06-26,3日,605366,宏柏新材,605366_7,14.38,10.02%,7.05亿,1.17亿
2026-06-26,,605366,宏柏新材,605366_3,14.38,10.02%,6.47亿,7995.52万
2026-06-26,,688156,路德科技,688156_40,30.00,15.52%,1.21亿,1848.74万
2026-06-26,,688409,富创精密,688409_40,274.80,20.00%,15.15亿,2.69亿
2026-06-26,,688432,有研硅,688432_40,30.90,20.00%,4.66亿,1.13亿
2026-06-26,,688584,上海合晶,688584_40,33.88,15.99%,4.29亿,1.61亿
2026-06-26,,688596,正帆科技,688596_40,56.22,20.00%,7.38亿,9930.92万
2026-06-26,3日,688639,华恒生物,688639_45,15.40,-10.05%,1.61亿,-632.72万
2026-06-26,,920078,族兴新材,920078_6,33.55,4.68%,5028.33万,-310.48万
2026-06-26,,920083,金戈新材,920083_6,58.45,1.83%,8978.67万,189.72万
2026-06-26,,920249,利尔达,920249_6,10.48,-5.92%,1.01亿,208.46万
2026-06-26,,920363,莱赛激光,920363_54,13.06,20.81%,4309.96万,-175.30万
2026-06-26,,920405,海希通讯,920405_54,18.19,20.46%,3159.92万,724.78万
2026-06-26,3日,920438,戈碧迦,920438_56,163.01,13.20%,9.74亿,4446.80万
2026-06-26,,920662,方盛股份,920662_6,25.40,1.60%,3663.10万,-251.82万
2026-06-26,,920981,晶赛科技,920981_6,46.30,1.94%,1.05亿,-2076.43万
