source,strategy,code,name,signalDate,rank,rank5,rank10,rank20,median5,medianPrev5,medianPrev10,trendScore,hotScore,rankMarketAllCount,entryDate,entryOpen,signalClose,signalAmount,signalTurnover,amount5,amount20,volumeRatio,turnover5,volumeConfirmed,totalMarketValue,floatMarketValue,exitDate5,ret5,exitDate10,ret10,exitDate20,ret20
eastmoney,popularity_only,000681,视觉中国,2026-06-01,14,1179,1195,999,138,1379,839,1042.3999999999999,8188849.8939195955,5525,2026-06-02,23.17,22.65,1034602843.75,6.88,721951769.1359999,834928430.6430001,0.8646870110531583,5.135999999999999,false,13941490976,13455087356,2026-06-08,-0.02891670263271484,2026-06-15,-0.03970651704790684,,
eastmoney,popularity_only,600280,中央商场,2026-06-01,55,896,3479,3704,61,3545,3914,3180.7000000000003,4677208.037315309,5525,2026-06-02,3.42,3.52,293206265,7.5,149504567.2,57213546.8,2.613097344281407,4.18,true,2944953797,2944953797,2026-06-08,0.0935672514619883,2026-06-15,-0.09649122807017552,,
eastmoney,popularity_only,002995,天地在线,2026-06-01,24,3031,3031,3019,74,3031,2580.5,2951.55,6418573.765625028,5525,2026-06-02,27.43,25.11,708236074.86,26.41,288558416.252,193072991.211,1.494556097370702,11.528,true,3137395206,1987536237,2026-06-08,-0.21983230040102086,2026-06-15,-0.20597885526795479,,
eastmoney,popularity_only,001896,豫能控股,2026-06-01,31,173,138,157,81,173,171,119.10000000000001,5888427.258116072,5525,2026-06-02,17.13,17.65,4508601453.95,17.68,3263920758.946,3061402401.276,1.0661521522246111,13.180000000000001,false,25648384157,25648384157,2026-06-08,0.1441914769410393,2026-06-15,0.3251605370694688,,
eastmoney,popularity_only,000037,深南电A,2026-06-01,27,432,1787,304,27,1673,1672.5,877.95,6209310.185897378,5525,2026-06-02,12.62,12.62,1268046518.39,30.47,485985853.62000006,384329988.39500004,1.2645015176919316,12.61,true,5346504227,3006115291,2026-06-08,-0.1822503961965134,2026-06-15,-0.10618066561014261,,
eastmoney,popularity_only,600011,华能国际,2026-06-01,2,280,1031,343,3,852,763,579.8499999999999,13139886.832601067,5525,2026-06-02,9.39,9.76,6614876204,6.48,3177399754,1154842004.9,2.751371824473199,3.38,true,114753062454,80393259508,2026-06-08,-0.10436634717784876,2026-06-15,-0.14164004259850904,,
eastmoney,popularity_only,301439,泓淋电力,2026-06-01,70,4278,2668,3568,70,4241,3623,3340,4169726.43384322,5525,2026-06-02,24.9,23.48,1243789802,30.13,346897530.4,93082994,3.7267551836590043,9.05,true,6287885233,2961270292,2026-06-08,-0.2678714859437751,2026-06-15,-0.29277108433734933,,
eastmoney,popularity_only,603890,春秋电子,2026-06-01,3,467,100,1207,29,265,677,705.3000000000001,12245936.002434425,5525,2026-06-02,29.82,27.09,118059651,0.97,1043510444.2,898003981.95,1.162033203832833,9.946,false,12104639816,12104639816,2026-06-08,-0.06371562709590872,2026-06-15,-0.19550637156270967,,
eastmoney,popularity_only,002608,江苏国信,2026-06-01,21,1433,1936,604,21,1740,1438,1190.3500000000001,6850842.972345953,5525,2026-06-02,10.09,10.12,1453668201.63,3.89,615186729.396,306496370.8905,2.007158282522646,1.786,false,26257653943,26257653943,2026-06-08,-0.05252725470763131,2026-06-15,-0.10703666997026762,,
eastmoney,popularity_only,603011,合锻智能,2026-05-29,29,1580,1647,905,50,1580,1669,1274.15,4302122.182725641,5525,2026-06-01,25.67,24.92,1352094013,11.08,781334879.4,373342841.7,2.092807982716975,7.188,true,15850926850,15850926850,2026-06-05,0.2738605375925205,2026-06-12,0.21192052980132448,,
