signalDate,code,name,rank,rank20,median5,medianPrev10,stockAmountRatio,stockPrev5,boardName,boardType,boardRet5,boardRet10,boardAmountRatio,boardScoreRankPct,score
2026-06-09,301196,唯科科技,413,1434,364,2262,1.3195442193451288,0.33322343114627984,光纤概念,concept,0.048253885172840905,0.05607382420224094,1.2719032105561758,0.015283842794759825,175.62668825955436
2026-06-09,301099,雅创电子,419,903,449,1151.5,2.0542998551783755,0.09906254372463974,MLCC,concept,0.03634813477348575,0.18743504499322405,1.9895808295746058,0,157.11888688268954
2026-06-03,601015,陕西黑猫,479,1963,626,2135.5,1.7651237275197076,0.14942528735632177,煤炭,industry,0.1334755081741592,0.11762959134637163,1.84439880743154,0.01680672268907563,205.19941941411656
2026-06-03,601225,XD陕西煤,492,1908,421,1397.5,1.4213224010774834,0.10357894736842099,动力煤,industry,0.1472937506298444,0.12872328502582042,1.8673468266154931,0,198.02712262141375
2026-06-03,300040,九洲集团,400,1554,400,1784,1.461080499752445,0.14144271570014144,电力,industry,0.05557611764112336,0.07998319028325285,1.5130796053476228,0.036414565826330535,187.56343013997963
2026-06-03,603124,江南新材,693,2447,1020,2906,1.320911380287379,0.09420877904832148,复合集流体,concept,0.03627977286381534,0.031626368008025985,1.2203577594757105,0.026200873362445413,168.81475043675675
2026-06-03,600157,永泰能源,409,645,290,744.5,1.456933002457961,0.05113636363636376,火力发电,industry,0.09834479831035137,0.18214910326076783,1.9596173463723747,0.011204481792717087,132.67504480800173
2026-06-03,002028,思源电气,448,1019,505,816.5,1.2186091634837009,-0.018653321201091866,超级电容,concept,0.04078550101337175,0.0498668509404705,1.595839423725355,0.008733624454148471,128.11638757243162
2026-06-03,000537,绿发电力,493,780,493,955.5,1.1057359320444413,0.09619238476953895,电力,industry,0.05557611764112336,0.07998319028325285,1.5130796053476228,0.036414565826330535,116.09648261394621
2026-06-02,000958,电投产融,779,1748,803,2323.5,1.4205902985908194,0.04297520661157028,电力,industry,0.057188572130489224,0.01773246360732239,1.4310594520397815,0.0392156862745098,158.59304328434385
2026-06-01,600508,上海能源,520,3654,379,3393.5,2.0937999412962727,0.09498956158663874,焦煤,industry,0.09841036478912057,0.10038661734924448,1.5010862350327792,0.0056022408963585435,203.76155471836807
2026-06-01,000531,穗恒运Ａ,420,1416,466,2499.5,2.1074109467711897,0.14644351464435146,火力发电,industry,0.13043085962594847,0.14932536813946928,1.7255739381727484,0,203.36462894389228
2026-06-01,000723,美锦能源,521,1191,662,1513,1.5672210414324397,0.0752427184466018,煤炭,industry,0.0927581307662182,0.07169334105454017,1.356164952076757,0.01680672268907563,163.91091231741038
2026-06-01,600163,中闽能源,516,812,516,1271.5,1.4575914866945083,0.09174311926605494,电力,industry,0.06653179185550484,0.06603253916755802,1.3331279020510831,0.025210084033613446,135.60288927902178
2026-05-29,600886,国投电力,421,1976,1132,1722.5,1.1457292343455734,0.07116104868913875,水力发电,industry,0.09497428570714939,0.06621250556351432,1.2137945594428425,0.022408963585434174,176.52270704804508
2026-05-29,600121,郑州煤电,875,3300,1058,2404.5,1.6760825109489645,0.038929440389294134,煤炭开采,industry,0.06695040668127428,0.03820500655820047,1.230521728851273,0.04201680672268908,173.19462377591526
2026-05-28,688519,南亚新材,439,1885,518,1532,1.572727097980028,0.2732240437158471,印制电路板,industry,0.13810049178350803,0.12414155184660647,1.4737104232763099,0.022408963585434174,203.0832512170269
2026-05-28,300046,台基股份,657,2500,981,1531,1.7379862222880023,0.10691244239631348,IGBT概念,concept,0.10872516016939948,0.06611268218403299,1.6492480644859602,0.019650655021834062,180.24176291594333
2026-05-28,688411,海博思创,622,2395,917,1642,1.7424498373732473,0.19304333790654526,百元股,concept,0.04750011825363032,0.04865090113553494,1.2633007057750123,0.08951965065502183,178.7529303390424
2026-05-28,688403,汇成股份,460,2898,940,1578.5,1.4130309308380735,0.1597938144329898,存储芯片,concept,0.057528481147296695,0.06954875396780724,1.484255573890659,0.05021834061135371,177.23837877637968
2026-05-28,002137,实益达,950,3273,950,2146,2.011766040702915,0.04181184668989557,电子,industry,0.06342495021558126,0.06394941747290739,1.381682556208586,0.05322128851540616,177.01374253233718
2026-05-28,301265,华新科技,826,2429,1270,2593.5,1.4208349471188055,0.13928012519561817,存储芯片,concept,0.057528481147296695,0.06954875396780724,1.484255573890659,0.05021834061135371,167.85014585006465
2026-05-28,603681,永冠新材,446,1075,1200,1787,1.996053895702008,0.10650069156293207,胶黏剂及胶带,industry,0.06373423095584663,0.03644948454826702,1.5592707660649436,0.06162464985994398,163.17814870259386
2026-05-28,301307,美利信,773,1913,1171,1651,1.4220505783788164,-0.010983606557377068,半导体概念,concept,0.0545066595542516,0.04732418990602705,1.2982755554233336,0.08078602620087336,153.07726339260816
2026-05-27,002452,长高电气,435,1345,842,1807,1.5128487065649387,0.0615784908933219,最近多板,concept,0.03261876561162369,0.023645526357089164,1.2332057847430846,0.039301310043668124,171.46403250586704
2026-05-27,000027,深圳能源,548,1872,1037,1593.5,1.0686470510231603,0.04149377593361003,火力发电,industry,0.07630054339888326,0.03360510406289441,1.2112477454022206,0.03081232492997199,164.31125778541147
2026-05-27,002167,东方锆业,723,1336,723,1425,1.421202685489882,0.08616404308202141,东方财富热股,concept,0.06649978347433905,0.06921582227210887,1.231323222502358,0.013100436681222707,138.4050346583979
